Entity ID,Rating,Cash,Total debt/total asset,Employees,Revenue - Total,Net Cash Flow
1045,BB-,322,0.438604361,122.3,40180,5630
1075,A-,8.881,0.251294765,6.339,3498.682,1221.471
1078,A+,18620,0.392682186,75,20853,14350
1166,BB+,399.031,0,1.67,630.936,-36.284
1177,A-,17996,0.275171377,49.5,63155,15853
1209,A,1501.3,0.272390932,18.6,9524.4,2356.4
1230,BB+,328,0.265508934,19.112,5931,2877
1380,BBB-,2732,0.233884211,2.304,4762,2106
1414,A-,211.976,0.076528924,2.662,1519.084,107.033
1439,BB,7.015,0.353502061,1.45,477.665,43.038
1440,BBB+,210.5,0.277629408,17.634,16380.1,5023.2
1447,BBB+,25208,0.19677393,56.4,33823,692
1598,BBB+,717.259,0.290485664,15.7,3840.087,813.889
1602,A,3241,0.388954732,19.2,22991,7755
1632,BBB,921.132,0.217329559,10,3421.409,1257.978
1661,BBB-,264.093,0.43707444,13,2227.839,393.689
1678,BBB,1377,0.37941294,3.727,5367,1570
1690,AA+,20484,0.23447399,116,215091,45341
1704,A-,3406,0.215451056,16.7,10825,-966
1706,BB+,179.604,0.392058303,5.2,1149.41,99.267
1722,A,619,0.163544469,31.8,62346,896
1773,BBB-,534.32,0.189797588,18.7,23825.261,521.87
1794,BB,1188,0.31504589,11,4948,269
1828,A,606,0.413151491,6.751,4045,1423
1860,B+,145.427,0.270479132,0.938,1020.644,234.383
1891,AA,3191.1,0.045974353,57,11667.8,10650
1906,B-,67.792,0.328260137,0.332,779.321,22.471
1919,BBB-,1031.478,0.11914833,17.7,26219.279,257.67
1920,B,654.4,0.548656,26.4,5717.7,197.4
1976,A,4572,0.151623411,33,9841,2044
1988,BB+,597,0.451987881,18.45,9061,-193
2044,A,905,0.309398617,16.3,3714,396.8
2055,BBB-,2389,0.308264725,18.18,8558,343
2086,A-,2801,0.17875981,48,10163,1330
2111,BBB+,1541,0.412334871,50.928,12483,798
2136,BBB+,2880,0.43178393,160.9,125980,9393
2137,BBB+,853,0.330725633,48.09,21719,4824
2154,BBB,74.2,0.411174207,17.678,4004.4,327
2220,BBB,456.264,0.112760823,8.25,2068.172,225.453
2259,BBB,13.58,0.492858046,2.834,1572.974,1161.461
2270,BB,1159.7,0.343845003,4.9,2776.4,1608.5
2285,A,8801,0.106314655,150.5,94571,912
2337,BB-,35,0.177928455,8.3,3545,250
2369,A-,4299,0.372342422,55,24893,10076
2393,BB,89.839,0.151948935,5.445,1808.778,60.371
2403,A+,4237,0.169579019,25,19427,405
2408,BBB+,432,0.418478849,51.25,12725,3132
2444,BBB-,422.4,0.132888848,14.415,4488.5,249.5
2497,BB,38.767,0.302022976,15.4,5134.703,176.107
2504,B,370.6,0.095963593,21,2820.7,201.5
2547,A,3185,0.080121294,41,39668,3801
2558,BBB,271,0.049064871,6.7,9227,743
2574,BBB+,603,0.309538601,26.628,11069,1773
2593,BBB,200,0.301576873,4.3,2411,208
2663,BBB+,296,0.295266046,16.5,7961,392
2696,A,176,0.254958577,22.249,12037,2663
2698,BBB+,164,0.450496852,11.653,6232,596
2703,BBB+,829.7,0.174288366,29.22,12681,706
2751,A-,2356,0.145126311,37.3,121546,1832
2787,BBB-,82,0.218766775,4.5,1813.4,93.8
2817,A,7168,0.305445492,95.4,38537,2496
2884,BB,222,0.386774996,40,17470,3090
